"ibgeCode","name","uf","region","rank","population2022","registeredHomicides","hiddenHomicides","estimatedHomicides","homicideRate","year"
"2804805","Nossa Senhora do Socorro","SE","NE","34","192330","90","4","94","48,9","2022"
"2603454","Camaragibe","PE","NE","35","147771","65","7","72","48,7","2022"
"1505536","Parauapebas","PA","N","36","267836","129","1","130","48,5","2022"
"2606002","Garanhuns","PE","NE","37","142506","67","2","69","48,4","2022"
"2312908","Sobral","CE","NE","38","203023","95","3","98","48,3","2022"
"4315602","Rio Grande","RS","S","39","191900","92","0","92","47,9","2022"
"2914802","Itabuna","BA","NE","40","186708","86","3","89","47,7","2022"
"1100205","Porto Velho","RO","N","41","460434","211","8","219","47,6","2022"
"2207702","Parnaíba","PI","NE","42","162159","72","5","77","47,5","2022"
"1100122","Ji-Paraná","RO","N","43","124333","58","1","59","47,5","2022"
"1502400","Castanhal","PA","N","44","192256","88","0","88","45,8","2022"
"2510808","Patos","PB","NE","45","103165","47","0","47","45,6","2022"
"2513703","Santa Rita","PB","NE","46","149910","67","1","68","45,4","2022"
"2304400","Fortaleza","CE","NE","47","2428708","918","183","1101","45,3","2022"
"3201308","Cariacica","ES","SE","48","353491","136","23","159","45","2022"
"3205002","Serra","ES","SE","49","520653","193","41","234","44,9","2022"
"2611606","Recife","PE","NE","50","1488920","635","31","666","44,7","2022"
"2103000","Caxias","MA","NE","51","156973","70","0","70","44,6","2022"
"2924009","Paulo Afonso","BA","NE","52","112870","49","1","50","44,3","2022"
"4100400","Almirante Tamandaré","PR","S","53","119825","46","7","53","44,2","2022"
"2613701","São Lourenço da Mata","PE","NE","54","111249","47","2","49","44","2022"
"2307700","Maranguape","CE","NE","55","105093","26","20","46","43,8","2022"
"2100055","Açailândia","MA","NE","56","106550","45","0","45","42,2","2022"
"4119509","Piraquara","PR","S","57","118730","46","4","50","42,1","2022"
"3203205","Linhares","ES","SE","58","166786","61","9","70","42","2022"
"2800308","Aracaju","SE","NE","59","602757","240","12","252","41,8","2022"
"2704302","Maceió","AL","NE","60","957916","379","19","398","41,5","2022"
"1702109","Araguaína","TO","N","61","171301","66","5","71","41,4","2022"
"3302403","Macaé","RJ","SE","62","246391","97","3","100","40,6","2022"
"3301900","Itaboraí","RJ","SE","63","224267","88","3","91","40,6","2022"
"2211001","Teresina","PI","NE","64","866300","343","7","350","40,4","2022"
"1500107","Abaetetuba","PA","N","65","158188","63","0","63","39,8","2022"
"3301702","Duque de Caxias","RJ","SE","66","808161","303","18","321","39,7","2022"
"3302502","Magé","RJ","SE","67","228127","88","2","90","39,5","2022"
"3300100","Angra dos Reis","RJ","SE","68","167434","66","0","66","39,4","2022"
"5212501","Luziânia","GO","CO","69","209129","79","3","82","39,2","2022"
"1400100","Boa Vista","RR","N","70","413486","148","14","162","39,2","2022"
"4108304","Foz do Iguaçu","PR","S","71","285415","109","2","111","38,9","2022"
"4104204","Campo Largo","PR","S","72","136327","46","7","53","38,9","2022"
"2611101","Petrolina","PE","NE","73","386791","130","19","149","38,5","2022"
"3204906","São Mateus","ES","SE","74","123752","44","3","47","38","2022"
"4300604","Alvorada","RS","S","75","187315","69","2","71","37,9","2022"
"2101400","Balsas","MA","NE","76","101767","38","0","38","37,3","2022"
"2903201","Barreiras","BA","NE","77","159734","59","0","59","36,9","2022"
"2408102","Natal","RN","NE","78","751300","241","36","277","36,9","2022"
"3205200","Vila Velha","ES","SE","79","467722","161","11","172","36,8","2022"
"2112209","Timon","MA","NE","80","174465","61","3","64","36,7","2022"
"2105302","Imperatriz","MA","NE","81","273110","100","0","100","36,6","2022"
"3300704","Cabo Frio","RJ","SE","82","222161","71","10","81","36,5","2022"
"2607901","Jaboatão dos Guararapes","PE","NE","83","644037","221","11","232","36","2022"
"3302858","Mesquita","RJ","SE","84","167127","34","26","60","35,9","2022"
"3303500","Nova Iguaçu","RJ","SE","85","785867","198","83","281","35,8","2022"
"3300456","Belford Roxo","RJ","SE","86","483087","119","54","173","35,8","2022"
"3302205","Itaperuna","RJ","SE","87","101041","36","0","36","35,6","2022"
"3305109","São João de Meriti","RJ","SE","88","440962","139","16","155","35,2","2022"
"5107958","Tangará da Serra","MT","CO","89","106434","35","2","37","34,8","2022"
"1301902","Itacoatiara","AM","N","90","103598","35","1","36","34,7","2022"
"5220454","Senador Canedo","GO","CO","91","155635","52","2","54","34,7","2022"
"3303203","Nilópolis","RJ","SE","92","146774","36","15","51","34,7","2022"
"3300209","Araruama","RJ","SE","93","129671","39","6","45","34,7","2022"
"3127701","Governador Valadares","MG","SE","94","257171","89","0","89","34,6","2022"
"5221403","Trindade","GO","CO","95","142431","49","0","49","34,4","2022"
"2304202","Crato","CE","NE","96","131050","45","0","45","34,3","2022"
"4107652","Fazenda Rio Grande","PR","S","97","148873","50","1","51","34,3","2022"
"5205109","Catalão","GO","CO","98","114427","39","0","39","34,1","2022"
"2609600","Olinda","PE","NE","99","349976","113","6","119","34","2022"
"2700300","Arapiraca","AL","NE","100","234696","78","1","79","33,7","2022"
"3304904","São Gonçalo","RJ","SE","101","896744","251","41","292","32,6","2022"
"5201405","Aparecida de Goiânia","GO","CO","102","527796","162","9","171","32,4","2022"
"1500800","Ananindeua","PA","N","103","478778","153","1","154","32,2","2022"
"1721000","Palmas","TO","N","104","302692","94","3","97","32","2022"
"5208004","Formosa","GO","CO","105","115901","35","2","37","31,9","2022"
"3300407","Barra Mansa","RJ","SE","106","169894","52","1","53","31,2","2022"
"5107602","Rondonópolis","MT","CO","107","244911","73","3","76","31","2022"
"5215231","Novo Gama","GO","CO","108","103804","31","1","32","30,8","2022"
"3304524","Rio das Ostras","RJ","SE","109","156491","46","2","48","30,7","2022"
"2606804","Igarassu","PE","NE","110","115196","31","4","35","30,4","2022"
"3304201","Resende","RJ","SE","111","129612","38","1","39","30,1","2022"
